"filename", "language", "JavaScript React", "CSS", "TypeScript React", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\package-lock.json", "JSON", 0, 0, 0, 30015, 0, 0, 0, 1, 30016
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\package.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\App.jsx", "JavaScript React", 78, 0, 0, 0, 0, 0, 3, 7, 88
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\header.jsx", "JavaScript React", 50, 0, 0, 0, 0, 0, 2, 4, 56
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\itemcard.jsx", "JavaScript React", 31, 0, 0, 0, 0, 0, 2, 4, 37
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\profile\admin\adminMain.jsx", "JavaScript React", 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\profile\admin\input_form.tsx", "TypeScript React", 0, 0, 113, 0, 0, 0, 1, 7, 121
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\profile\admin\orderList.tsx", "TypeScript React", 0, 0, 86, 0, 0, 0, 3, 6, 95
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\profile\admin\stockList.tsx", "TypeScript React", 0, 0, 144, 0, 0, 0, 15, 7, 166
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\components\profile\user_info.tsx", "TypeScript React", 0, 0, 201, 0, 0, 0, 3, 6, 210
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\css.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\index.jsx", "JavaScript React", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\cart.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\contact.jsx", "JavaScript React", 32, 0, 0, 0, 0, 0, 1, 3, 36
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\home.jsx", "JavaScript React", 48, 0, 0, 0, 0, 0, 1, 3, 52
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\login.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\product_item.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\product_page.jsx", "JavaScript React", 64, 0, 0, 0, 0, 0, 2, 4, 70
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\profile.jsx", "JavaScript React", 11, 0, 0, 0, 0, 0, 3, 3, 17
"c:\Users\Wiggi\Dropbox\PC\Desktop\bubbles-by-mandy\client\src\pages\sign_up.jsx", "JavaScript React", 6, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 358, 15, 544, 30088, 38, 20, 62, 108, 31233